owner_Id,user_id,first_Name,middle_Name,last_Name,addr_1	,addr_2,city,st,zip,zip_4	,country,phone,phone_2,mobile,url,url_2,email,email_2
,,,,,,,,,,,,,,,,,,
1123456700,1123456700,James,T,Plus,1234 This Pl,,This City,AZ,54321,1234,US,123-345-5678,,234-567-8901,JLBrown.BIZ,,JLBrown@JLBrownBIZ,info@JLBrown.BIZ
1123456700,1123456701,Abigail,R,Stone,2345 That Street,B,That City,AZ,54322,2234,US,1234567890,,2345678902,,,,
1123456700,1123456702,Mountain,,Top,897 Over There,,Yonder,AZ,54323,3234,US,1234567891,,2345678903,,,,
1123456700,1123456703,Elliot,T,Roberson,93 Mountain Top,,Big Sky,MT,54324,4234,US,1234567892,,2345678904,,,,
1123456700,1123456704,Simon,P,Daly,29A Mommas House,,Down Home,AL,54325,5234,US,1234567893,,2345678905,,,,
1123456800,1123456800,Stone,Capped,Mountains,849 Swiss Alps,Penthouse,Copperfiled,NE,54326,6234,US,1234567894,,2345678906,,,,
1123456800,1123456801,Cold,,Weather,2566 Snowy Ridge,,Nome,AK,54327,7234,US,123 456 7895,,234 567 8907,,,,
1123456800,1123456802,Rain,Y,Days,7938 Pick A Letter Blvd,Ste100,Seattle,WA,5A328,8234,US,123A567896,,234 567 8908,,,,
1123456800,1123456803,Stars,Are,Galaxies,800 Light Years Away,,East,OS,54329,9234,Outer Space,1234567897,,2345678909,,,,
1123456800,1123456804,Satelite,,Moon,225 Thousand Miles,,Away,MW,54330,0334,Milky Way,1234567898,,2345678910,,,,
1123456900,1123456900,Super,,Nova,4500 On The Cusp,,Far Away,OS,54331,,Outer Space,123A567899,,2345678911,,,,
1123456900,1123456901,Shine,Ing,Knight,Ten Downing Pl,,London,UK,54332,,no zip_4 ,(123) 456-7900,,(234) 567-8912,,,,
1123456900,1123456902,Planet,S,Orbit,3 Third Rock,,Earth,SS,54333,,Solar System,123 456 7901,,2345678913,planetsorbit.com,,P_Orbits@planetsorbit.com,
1123456900,1123456903,Earth,n,Ware,4900 Napa Valley,,Tucson,AZ,54334,,,(123)456-7902,,(234)567-8914,,,,
1123456900,1123456904,Sun,,Shine,8 Minutes from Earth,,Dead Center,IS,,,,123-456-7903,,2345678915,,,,
1123457000,1123457000,Inter,,Stellar,Space,,Universe,UN,,,,555 555 5555,,,,,,
1123457000,1123457001,,,,,,,,,,,,,,,,,
1123457000,1123457002,,,,,,,,,,,,,,,,,
1123457000,1123457003,,,,,,,,,,,,,,,,,
1123457000,1123457004,,,,,,,,,,,,,,,,,
