user_id,vendor,account_Number,display_Name
,,,
1123456700,Debit Card Co 1,1234-5678-9012-6700,Debit Card
1123456700,Data Miner , DM 4725 6800,Data Miner
1123456700,Spotted Chair,SC-1234-5678-6700,Spotted Chair
1123456701,Credit Card Co 1,1234-5678-9012-6701,Credit Card
1123456701,O’Pine Logging,PL-6701,O’Pine Logging
1123456701,Electric Co,EC - 6701,Electric Co
1123456702,House Depot,1234-5678-9012-6702,House Depot
1123456702,Green Grocer,,Green Grocer
1123456702,Electric Power,EP - 6702,Electric Power
1123456703,Spotted Chair,SC-1234-5678-6703,Spotted Chair
1123456703,Bloom’s Blooms,,Bloom’s Blooms
1123456703,Water Co,WC 234-6704,Water Co
1123456704,Rising Star,RS-093-3789-6704,Rising Star
1123456704,Mobile Company,MC 0987656704,Mobile Company
1123456704,Dental Care,9876-543-21-6801,Dental Care
1123456800,Data Miner , DM 4725 6800,Data Miner
1123456800,Motivational Speaker,,Jacked T’Inspire 
1123456800,Mobile Company,MC 0987656804,Mobile Company
1123456801,Brown Inc,BI 1086 6801,Brown Inc
1123456801,Insurance Agency,123-3456-6789-6801,Insurance Agency
1123456801,Health Care,9876-543-21-6801,Health Care
1123456802,Debit Card Co 1,1234 5678 9012 6802,Debit Card
1123456802,Storarge Place,A123-C456-6802,Storage Place
1123456802,Insurance Company,123-3456-6789-6802,Insurance Company
1123456803,Credit Card Co 1,1234 5678 9012 6803,Credit Card
1123456803,Mortgage Company,87654 6803,Mortgage Company
1123456803,Mobile Company,MC 0987656803,Mobile Company
1123456804,Studio Lighting,5678-9012-6804,Stud Lites
1123456804,Streaming Service,SS - 9874 AB 6804 ,Streaming Service
1123456804,Internet Service Company,ISC 3289-6804,ISC 6804
1123456900,Supreme Baker,SB-1234-5678-6900,SB - 6900
1123456900,Data Miner , DM 4725 6800,Data Miner
1123456900,Mortgage Company,76543 6900,Mortgage Company
1123456901,Rising Star,RS-093-3789-6901,Rising Star
1123456901,Mobile Provider,6785556901,Mobile Provider
1123456901,Creepy Crawler,CC 9238 6901,Exterminatior
1123456902,Data Miner , DM 4725 6902,Data Miner
1123456902,Car Financer,97987 97179 6902,Car Finance
1123456902,Internet Service Provider,ISP 3289-6902,ISP 6902
1123456903,Home Realtors,HR 1086 6903,HR - 6903
1123456903,Home Phone,404-555-6903,Home Phone
1123456903,Digital Service,DS-ACCT-6903,Digital Service
1123456904,Complete Service,12-345-890-6904,ComSer - 6904
1123456904,The Gym,Gym-acct-no-6904,The Gym
1123456904,Time Travels Company,240 939 678 6904,Time Travels Company
1123457000,Rising Star,RS-093-3789-7000,Rising Star
1123457000,Internet Service Company,ISC 3289-7000,ISC 7000
1123457000,My Employer,,My Employer
1123457001,PZQ Maintenance Shop,,PZQ Mechanics
1123457001,Major Super Market,,Super Market
1123457001,Southern Food Restaurant,,Southern Food
1123457002,ABC Credit Company,,ABC Credit
1123457002,XYZ Car Maker,,XYX Cars
1123457002,Mortgage Company,,Mortgage Company
1123457003,Mobile Company,,Mobile Company
1123457003,Water Co,,Water Co
1123457003,Rising Biscuit,,Rising Biscuit
1123457004,Streaming Service,SS - 9874 AB 6804 ,Streaming Service
1123457004,Internet Service Company,ISC 3289-6804,ISC 6804
1123457004,Insurance Agency,123-3456-6789-6801,Insurance Agency
